AliceBlue .94 .972 1 0.96633
AntiqueWhite .98 .92 .844 0.929923
Aqua 0 1 1 0.871206
Aquamarine .498 1 .83 0.893092
Azure .94 1 1 0.985874
Beige .96 .96 .864 0.953778
Bisque 1 .894 .77 0.913011
Black 0 0 0 0
BlanchedAlmond 1 .92 .804 0.932641
Blue 0 0 1 0.260768
BlueViolet .54 .17 .888 0.379297
Brown .648 .165 .165 0.349085
BurlyWood .87 .72 .53 0.74815
CadetBlue .372 .62 .628 0.570779
Chartreuse .498 1 0 0.866469
Chocolate .824 .41 .116 0.529816
Coral 1 .498 .312 0.647294
CornflowerBlue .392 .585 .93 0.576475
Cornsilk 1 .972 .864 0.971909
Crimson .864 .08 .235 0.433686
Cyan 0 1 1 0.871206
DarkBlue 0 0 .545 0.142119
DarkCyan 0 .545 .545 0.474807
DarkGoldenrod .72 .525 .044 0.561714
DarkGray .664 .664 .664 0.664
DarkGreen 0 .392 0 0.325856
DarkGrey .664 .664 .664 0.664
DarkKhaki .74 .716 .42 0.705841
DarkMagenta .545 0 .545 0.302953
DarkOliveGreen .332 .42 .185 0.388309
DarkOrange 1 .55 0 0.670841
DarkOrchid .6 .196 .8 0.396012
DarkRed .545 0 0 0.26755
DarkSalmon .912 .59 .48 0.675762
DarkSeaGreen .56 .736 .56 0.686451
DarkSlateBlue .284 .24 .545 0.281846
DarkSlateGray .185 .31 .31 0.284935
DarkSlateGrey .185 .31 .31 0.284935
DarkTurquoise 0 .808 .82 0.704877
DarkViolet .58 0 .828 0.35734
DeepPink 1 .08 .576 0.517671
DeepSkyBlue 0 .75 1 0.675787
DimGray .41 .41 .41 0.41
DimGrey .41 .41 .41 0.41
DodgerBlue .116 .565 1 0.54021
FireBrick .698 .132 .132 0.361443
FloralWhite 1 .98 .94 0.982202
ForestGreen .132 .545 .132 0.458943
Fuchsia 1 0 1 0.555878
Gainsboro .864 .864 .864 0.864
GhostWhite .972 .972 1 0.97393
Gold 1 .844 0 0.856285
Goldenrod .855 .648 .125 0.683662
Gray .5 .5 .5 0.5
Green 0 .5 0 0.415632
GreenYellow .68 1 .185 0.897087
Grey .5 .5 .5 0.5
Honeydew .94 1 .94 0.981852
HotPink 1 .41 .705 0.625264
IndianRed .804 .36 .36 0.504136
Indigo .294 0 .51 0.19626
Ivory 1 1 .94 0.996035
Khaki .94 .9 .55 0.890633
Lavender .9 .9 .98 0.905664
LavenderBlush 1 .94 .96 0.956157
LawnGreen .488 .99 0 0.857112
LemonChiffon 1 .98 .804 0.973957
LightBlue .68 .848 .9 0.814506
LightCoral .94 .5 .5 0.634585
LightCyan .88 1 1 0.972435
LightGoldenrod .933 .867 .51 0.864229
LightGoldenrodYellow .98 .98 .824 0.970187
LightGray .828 .828 .828 0.828
LightGreen .565 .932 .565 0.835978
LightGrey .828 .828 .828 0.828
LightPink 1 .712 .756 0.793828
LightSalmon 1 .628 .48 0.727452
LightSeaGreen .125 .698 .668 0.608906
LightSkyBlue .53 .808 .98 0.764286
LightSlateBlue .518 .44 1 0.516182
LightSlateGray .468 .532 .6 0.522335
LightSlateGrey .468 .532 .6 0.522335
LightSteelBlue .69 .77 .87 0.758883
LightYellow 1 1 .88 0.9923
Lime 0 1 0 0.831264
LimeGreen .196 .804 .196 0.677159
Linen .98 .94 .9 0.947156
Magenta 1 0 1 0.555878
Maroon .5 0 0 0.245459
MediumAquamarine .4 .804 .668 0.718037
MediumBlue 0 0 .804 0.209658
MediumOrchid .73 .332 .828 0.501212
MediumPurple .576 .44 .86 0.513837
MediumSeaGreen .235 .7 .444 0.604404
MediumSlateBlue .484 .408 .932 0.480155
MediumSpringGreen 0 .98 .604 0.829725
MediumTurquoise .284 .82 .8 0.726351
MediumVioletRed .78 .084 .52 0.412174
MidnightBlue .098 .098 .44 0.148714
MintCream .96 1 .98 0.989148
MistyRose 1 .894 .884 0.920006
Moccasin 1 .894 .71 0.909698
NavajoWhite 1 .87 .68 0.891886
Navy 0 0 .5 0.130384
NavyBlue 0 0 .5 0.130384
OldLace .992 .96 .9 0.96388
Olive .5 .5 0 0.482701
OliveDrab .42 .556 .136 0.507329
Orange 1 .648 0 0.728803
OrangeRed 1 .27 0 0.539791
Orchid .855 .44 .84 0.598277
PaleGoldenrod .932 .91 .668 0.901054
PaleGreen .596 .985 .596 0.883282
PaleTurquoise .688 .932 .932 0.87941
PaleVioletRed .86 .44 .576 0.578431
PapayaWhip 1 .936 .835 0.945407
PeachPuff 1 .855 .725 0.88424
Peru .804 .52 .248 0.58891
Pink 1 .752 .796 0.821492
Plum .868 .628 .868 0.710864
PowderBlue .69 .88 .9 0.839601
Purple .5 0 .5 0.277939
Red 1 0 0 0.490918
RosyBrown .736 .56 .56 0.607101
RoyalBlue .255 .41 .884 0.430078
SaddleBrown .545 .27 .075 0.349771
Salmon .98 .5 .448 0.646416
SandyBrown .956 .644 .376 0.718648
SeaGreen .18 .545 .34 0.470014
Seashell 1 .96 .932 0.967932
Sienna .628 .32 .176 0.40977
Silver .752 .752 .752 0.752
SkyBlue .53 .808 .92 0.759198
SlateBlue .415 .352 .804 0.413618
SlateGray .44 .5 .565 0.491035
SlateGrey .44 .5 .565 0.491035
Snow 1 .98 .98 0.984857
SpringGreen 0 1 .498 0.841347
SteelBlue .275 .51 .705 0.481407
Tan .824 .705 .55 0.726393
Teal 0 .5 .5 0.435603
Thistle .848 .75 .848 0.781595
Tomato 1 .39 .28 0.592817
Turquoise .25 .88 .815 0.771583
Violet .932 .51 .932 0.669428
VioletRed .816 .125 .565 0.43929
Wheat .96 .87 .7 0.882294
White 1 1 1 1
WhiteSmoke .96 .96 .96 0.96
Yellow 1 1 0 0.965401
YellowGreen .604 .804 .196} 0.732944
